date,mosquito,watermelon,summer,ice,temperature
2016-01-03,21,4,10,10,6.5
2016-01-10,8,18,10,16,0.3
2016-01-17,4,7,12,0,1.7
2016-01-24,8,22,16,10,-14.4
2016-01-31,12,4,14,11,-3.9
2016-02-07,8,12,11,17,-2.9
2016-02-14,15,9,11,15,-2.6
2016-02-21,13,19,9,10,-0.6
2016-02-28,11,7,11,25,0.7
2016-03-06,6,11,10,0,7.9
2016-03-13,4,7,8,10,3.7
2016-03-20,17,7,13,10,10.6
2016-03-27,10,14,16,10,7.2
2016-04-03,15,5,18,25,10.7
2016-04-10,21,21,18,25,13.4
2016-04-17,18,14,22,15,10.8
2016-04-24,9,19,23,25,15.5
2016-05-01,17,19,21,50,18.8
2016-05-08,59,34,25,34,19.4
2016-05-15,31,24,31,64,17.4
2016-05-22,35,27,37,48,24.7
2016-05-29,40,34,43,68,21.5
2016-06-05,29,65,43,58,24.7
2016-06-12,42,50,48,63,23.5
2016-06-19,46,48,46,44,24.1
2016-06-26,54,52,45,54,24.4
2016-07-03,44,54,50,34,23.5
2016-07-10,52,39,55,48,27.9
2016-07-17,62,49,60,62,21.7
2016-07-24,42,66,64,82,28
2016-07-31,42,39,52,73,28.9
2016-08-07,32,47,54,45,30.6
2016-08-14,44,42,39,58,28.9
2016-08-21,23,32,29,25,30.7
2016-08-28,27,21,16,40,21
2016-09-04,32,11,16,5,25.6
2016-09-11,41,18,11,21,24.5
2016-09-18,25,12,11,14,23.5
2016-09-25,25,15,9,14,23
2016-10-02,20,12,11,10,19
2016-10-09,22,17,9,10,11.3
2016-10-16,20,3,11,5,17.2
2016-10-23,17,9,9,10,13.3
2016-10-30,12,16,11,5,7.9
2016-11-06,11,12,12,30,14
2016-11-13,13,5,15,34,14.4
2016-11-20,14,15,14,10,9.8
2016-11-27,14,5,8,5,3.3
2016-12-04,3,6,12,18,5.5
2016-12-11,7,2,9,0,-1.1
2016-12-18,9,10,7,14,4.9
2016-12-25,4,3,10,5,1
2017-01-01,7,8,9,5,2.7
2017-01-08,9,10,11,0,6.5
2017-01-15,5,8,15,18,-6.6
2017-01-22,11,15,13,5,-8.3
2017-01-29,5,6,12,0,0.8
2017-02-05,5,11,12,0,1.2
2017-02-12,0,12,17,9,-2.2
2017-02-19,6,13,14,4,2.3
2017-02-26,10,11,16,0,3.6
2017-03-05,8,11,13,4,5.2
2017-03-12,6,13,13,4,8.2
2017-03-19,13,15,15,9,10.9
2017-03-26,11,12,17,9,7.3
2017-04-02,10,18,16,4,9
2017-04-09,13,12,18,25,14.8
2017-04-16,8,22,26,34,18.7
2017-04-23,11,21,26,13,14.9
2017-04-30,17,17,22,26,19.3
2017-05-07,22,26,29,25,16.6
2017-05-14,16,30,34,33,15.7
2017-05-21,31,29,35,29,21.5
2017-05-28,41,38,45,14,21.2
2017-06-04,35,51,39,42,21.7
2017-06-11,41,35,41,42,22.8
2017-06-18,48,55,51,82,24.3
2017-06-25,54,82,60,52,23.8
2017-07-02,43,74,69,61,24.3
2017-07-09,52,97,62,71,26.3
2017-07-16,48,53,71,50,26.2
2017-07-23,49,62,74,69,27
2017-07-30,45,86,60,88,27.9
2017-08-06,37,63,45,63,29.8
2017-08-13,28,33,32,56,26.3
2017-08-20,46,25,22,23,23.2
2017-08-27,48,21,12,5,22.7
2017-09-03,31,18,15,23,23.7
2017-09-10,44,19,16,18,23
2017-09-17,35,19,13,9,23.1
2017-09-24,40,8,11,19,22.4
2017-10-01,33,11,15,10,18.2
2017-10-08,49,17,15,18,23
2017-10-15,45,16,8,9,15.8
2017-10-22,31,21,9,4,16.3
2017-10-29,17,20,7,4,11.5
2017-11-05,28,14,10,17,8.4
2017-11-12,6,6,12,4,5.3
2017-11-19,11,6,12,4,-1.6
2017-11-26,11,9,12,21,3.3
2017-12-03,13,7,15,8,4.9
2017-12-10,6,7,12,17,1.1
2017-12-17,3,4,9,25,-6.7
2017-12-24,3,9,16,4,2.9
2017-12-31,13,12,11,21,-0.3
2018-01-07,9,10,13,8,-0.8
2018-01-14,20,17,17,12,0.6
2018-01-21,16,12,13,12,0.4
2018-01-28,23,12,13,8,-6.3
2018-02-04,17,22,17,8,-9.5
2018-02-11,14,13,15,9,-6.1
2018-02-18,19,22,14,12,-0.4
2018-02-25,8,19,15,4,1.9
2018-03-04,22,15,18,13,9.8
2018-03-11,21,13,15,0,6.4
2018-03-18,25,13,19,4,8.2
2018-03-25,25,12,17,21,9.6
2018-04-01,25,11,19,4,15.6
2018-04-08,26,17,21,33,3.9
2018-04-15,25,25,21,20,9.5
2018-04-22,20,15,20,8,15.5
2018-04-29,25,27,28,16,16.2
2018-05-06,28,22,23,20,16.6
2018-05-13,40,29,30,35,15.8
2018-05-20,50,45,35,40,17
2018-05-27,53,47,41,44,20.3
2018-06-03,59,51,46,56,24
2018-06-10,64,44,39,55,21.3
2018-06-17,66,61,62,44,22.8
2018-06-24,83,67,55,37,25.2
2018-07-01,55,67,69,71,21.9
2018-07-08,70,87,72,67,23.3
2018-07-15,58,100,100,100,28.3
2018-07-22,43,84,90,68,31.8
2018-07-29,54,77,84,99,31.3
2018-08-05,44,58,59,69,30
2018-08-12,32,37,47,76,30.6
2018-08-19,30,33,35,8,28.2
2018-08-26,43,28,31,36,23.2
2018-09-02,49,22,18,20,25.1
2018-09-09,37,28,18,20,22.2
2018-09-16,52,18,17,8,22.2
2018-09-23,41,11,20,31,19.4
2018-09-30,51,22,13,12,17.6
2018-10-07,40,15,12,21,16.4
2018-10-14,42,12,11,12,13.2
2018-10-21,48,9,14,8,13.4
2018-10-28,44,13,12,21,8.3
2018-11-04,40,7,9,16,11.6
2018-11-11,28,13,14,8,8.1
2018-11-18,24,8,10,16,6.1
2018-11-25,9,14,16,12,4.8
2018-12-02,22,7,16,12,8.2
2018-12-09,22,10,8,17,-7.2
2018-12-16,14,18,12,0,0
2018-12-23,10,13,12,9,2.4
2018-12-30,15,14,13,9,-6.8
2019-01-06,13,10,14,4,-2.8
2019-01-13,8,6,12,24,1.2
2019-01-20,14,16,16,16,-1.4
2019-01-27,5,6,14,4,-0.1
2019-02-03,12,11,17,22,3.3
2019-02-10,4,25,14,4,-5
2019-02-17,11,9,15,12,-1.8
2019-02-24,16,13,13,16,6.3
2019-03-03,9,19,15,12,9.4
2019-03-10,3,14,17,8,10.1
2019-03-17,15,13,17,12,6.3
2019-03-24,7,21,15,24,4.3
2019-03-31,11,6,19,16,4.4
2019-04-07,12,14,21,28,12.6
2019-04-14,14,17,26,8,9.6
2019-04-21,14,20,32,28,14.8
2019-04-28,24,24,40,40,12.9
2019-05-05,21,23,39,28,19.2
2019-05-12,33,41,46,51,21.6
2019-05-19,31,30,47,43,19.4
2019-05-26,35,47,54,23,24.5
2019-06-02,63,47,51,42,21.1
2019-06-09,55,50,49,42,21.6
2019-06-16,57,40,69,62,22
2019-06-23,67,67,64,35,25
2019-06-30,100,64,81,71,23.9
2019-07-07,65,75,79,35,26.7
2019-07-14,81,41,76,32,25.9
2019-07-21,63,52,71,67,25.1
2019-07-28,56,52,71,42,26.1
2019-08-04,46,61,64,63,28.3
2019-08-11,41,48,55,56,30.4
2019-08-18,43,32,36,35,25.6
2019-08-25,53,22,31,51,25
2019-09-01,65,16,26,19,23.7
2019-09-08,42,23,28,33,24.7
2019-09-15,43,15,30,34,24.2
2019-09-22,51,12,22,23,18.6
2019-09-29,54,17,20,11,22.6
2019-10-06,61,15,20,19,18.1
2019-10-13,55,5,23,19,17.2
2019-10-20,50,13,28,19,16.5
2019-10-27,41,14,15,19,11
2019-11-03,20,14,16,15,14.7
2019-11-10,22,10,15,11,10
2019-11-17,26,12,16,4,8.3
2019-11-24,22,13,12,14,9.8
2019-12-01,16,9,15,14,4.6
2019-12-08,19,12,12,4,-0.9
2019-12-15,10,13,12,10,5.3
2019-12-22,20,11,15,29,4.1
2019-12-29,16,10,13,21,3.8
2020-01-05,11,12,12,16,1.3
2020-01-12,14,6,13,30,-1
2020-01-19,12,8,11,4,1.9
2020-01-26,9,11,17,17,5.5
2020-02-02,11,6,18,23,1.5
2020-02-09,19,12,12,25,-0.5
2020-02-16,16,11,16,6,-1.4
2020-02-23,9,4,13,9,2.5
2020-03-01,15,5,13,23,5.8
2020-03-08,20,12,16,15,9.3
2020-03-15,15,27,17,14,4
2020-03-22,18,13,15,6,11
2020-03-29,17,16,14,39,8.7
2020-04-05,16,12,14,27,7.2
2020-04-12,18,23,17,16,9.9
2020-04-19,12,21,18,34,12.3
2020-04-26,31,26,23,20,12.3
2020-05-03,38,34,36,36,21.8
2020-05-10,33,33,26,24,14.4
2020-05-17,46,21,34,32,19.1
2020-05-24,62,35,38,27,17.1
2020-05-31,64,50,47,57,21.2
2020-06-07,86,62,58,58,22.7
2020-06-14,65,60,58,43,24
2020-06-21,79,82,65,59,26.1
2020-06-28,78,68,59,63,25.2
2020-07-05,92,63,56,58,23.8
2020-07-12,70,52,61,50,23.5
2020-07-19,69,59,75,39,24
2020-07-26,71,52,69,68,25.4
2020-08-02,59,44,56,67,24.9
2020-08-09,56,43,50,50,24.9
2020-08-16,56,36,49,71,27.4
2020-08-23,46,26,33,47,25.3
2020-08-30,26,35,26,30,26.8
2020-09-06,47,18,19,40,21.7
2020-09-13,50,14,21,21,21.5
2020-09-20,41,16,14,24,19.7
2020-09-27,44,19,16,28,20.4
2020-10-04,44,15,13,9,16.6
2020-10-11,34,8,12,31,16.9
2020-10-18,27,12,9,13,13.6
2020-10-25,31,20,9,13,11.8
2020-11-01,26,16,8,18,13.7
2020-11-08,28,22,15,22,8.5
2020-11-15,30,9,12,19,11.1
2020-11-22,13,14,11,21,5.6
2020-11-29,11,7,10,21,-0.6
2020-12-06,5,7,9,23,4.5
2020-12-13,12,7,13,14,-1.1
2020-12-20,7,21,10,36,-3.7
2020-12-27,9,9,12,21,5.8
